Timestamps,Type,Mean
25/06/2020,ESG-Mean,0.102892151
26/06/2020,ESG-Mean,0.100638462
27/06/2020,ESG-Mean,0.098478044
28/06/2020,ESG-Mean,0.097184109
29/06/2020,ESG-Mean,0.097062666
30/06/2020,ESG-Mean,0.099328098
01/07/2019,SDG-Mean,0.443100982
02/07/2019,SDG-Mean,0.443078351
03/07/2019,SDG-Mean,0.442238195
04/07/2019,SDG-Mean,0.443117276
05/07/2019,SDG-Mean,0.443233675
06/07/2019,SDG-Mean,0.442392311
07/07/2019,SDG-Mean,0.441994251
08/07/2019,SDG-Mean,0.440594212
09/07/2019,SDG-Mean,0.441619864
10/07/2019,SDG-Mean,0.442696587
11/07/2019,SDG-Mean,0.444367092
12/07/2019,SDG-Mean,0.441756472
13/07/2019,SDG-Mean,0.438166772
14/07/2019,SDG-Mean,0.437447288
15/07/2019,SDG-Mean,0.438399292
16/07/2019,SDG-Mean,0.439722551
17/07/2019,SDG-Mean,0.440803628
18/07/2019,SDG-Mean,0.440868713
19/07/2019,SDG-Mean,0.441843821
20/07/2019,SDG-Mean,0.440389882
21/07/2019,SDG-Mean,0.439647003
22/07/2019,SDG-Mean,0.439786528
23/07/2019,SDG-Mean,0.441759692
24/07/2019,SDG-Mean,0.442443667
25/07/2019,SDG-Mean,0.444670385
26/07/2019,SDG-Mean,0.446040086
27/07/2019,SDG-Mean,0.446994248
28/07/2019,SDG-Mean,0.447786935
29/07/2019,SDG-Mean,0.446471094
30/07/2019,SDG-Mean,0.444954638
31/07/2019,SDG-Mean,0.440189861
01/08/2019,SDG-Mean,0.439320597
02/08/2019,SDG-Mean,0.436163338
03/08/2019,SDG-Mean,0.434673308
04/08/2019,SDG-Mean,0.433355741
05/08/2019,SDG-Mean,0.430119648
06/08/2019,SDG-Mean,0.427028059
07/08/2019,SDG-Mean,0.426170873
08/08/2019,SDG-Mean,0.426450963
09/08/2019,SDG-Mean,0.424671571
10/08/2019,SDG-Mean,0.424908436
11/08/2019,SDG-Mean,0.426306474
12/08/2019,SDG-Mean,0.424558726
13/08/2019,SDG-Mean,0.421127239
14/08/2019,SDG-Mean,0.416823858
15/08/2019,SDG-Mean,0.415066968
16/08/2019,SDG-Mean,0.412468759
17/08/2019,SDG-Mean,0.412804581
18/08/2019,SDG-Mean,0.411286934
19/08/2019,SDG-Mean,0.412083489
20/08/2019,SDG-Mean,0.412788866
21/08/2019,SDG-Mean,0.414859213
22/08/2019,SDG-Mean,0.415915596
23/08/2019,SDG-Mean,0.414390423
24/08/2019,SDG-Mean,0.412136184
25/08/2019,SDG-Mean,0.411942697
26/08/2019,SDG-Mean,0.412347456
27/08/2019,SDG-Mean,0.412833198
28/08/2019,SDG-Mean,0.413555447
29/08/2019,SDG-Mean,0.415879971
30/08/2019,SDG-Mean,0.415967344
31/08/2019,SDG-Mean,0.412598477
01/09/2019,SDG-Mean,0.410190017
02/09/2019,SDG-Mean,0.408438251
03/09/2019,SDG-Mean,0.407132897
04/09/2019,SDG-Mean,0.405950833
05/09/2019,SDG-Mean,0.407752787
06/09/2019,SDG-Mean,0.409670402
07/09/2019,SDG-Mean,0.411452903
08/09/2019,SDG-Mean,0.413041162
09/09/2019,SDG-Mean,0.414436377
10/09/2019,SDG-Mean,0.416074653
11/09/2019,SDG-Mean,0.416488407
12/09/2019,SDG-Mean,0.421047613
13/09/2019,SDG-Mean,0.420010882
14/09/2019,SDG-Mean,0.418475495
15/09/2019,SDG-Mean,0.418067787
16/09/2019,SDG-Mean,0.417584373
17/09/2019,SDG-Mean,0.416850151
18/09/2019,SDG-Mean,0.417508011
19/09/2019,SDG-Mean,0.418218452
20/09/2019,SDG-Mean,0.416106479
21/09/2019,SDG-Mean,0.414315263
22/09/2019,SDG-Mean,0.414611299
23/09/2019,SDG-Mean,0.414071353
24/09/2019,SDG-Mean,0.414629982
25/09/2019,SDG-Mean,0.416527852
26/09/2019,SDG-Mean,0.420612181
27/09/2019,SDG-Mean,0.420676317
28/09/2019,SDG-Mean,0.418724882
29/09/2019,SDG-Mean,0.418731936
30/09/2019,SDG-Mean,0.418850083
01/10/2019,SDG-Mean,0.420493328
02/10/2019,SDG-Mean,0.418664653
03/10/2019,SDG-Mean,0.42070918
04/10/2019,SDG-Mean,0.419856287
05/10/2019,SDG-Mean,0.419472353
06/10/2019,SDG-Mean,0.41845972
07/10/2019,SDG-Mean,0.42014347
08/10/2019,SDG-Mean,0.419839319
09/10/2019,SDG-Mean,0.421590123
10/10/2019,SDG-Mean,0.421851737
11/10/2019,SDG-Mean,0.423226301
12/10/2019,SDG-Mean,0.424137487
13/10/2019,SDG-Mean,0.425639298
14/10/2019,SDG-Mean,0.426147236
15/10/2019,SDG-Mean,0.429633368
16/10/2019,SDG-Mean,0.433269555
17/10/2019,SDG-Mean,0.435369188
18/10/2019,SDG-Mean,0.436373496
19/10/2019,SDG-Mean,0.434796717
20/10/2019,SDG-Mean,0.434934316
21/10/2019,SDG-Mean,0.436379264
22/10/2019,SDG-Mean,0.439084339
23/10/2019,SDG-Mean,0.441642968
24/10/2019,SDG-Mean,0.445838722
25/10/2019,SDG-Mean,0.449280524
26/10/2019,SDG-Mean,0.449492195
27/10/2019,SDG-Mean,0.450356659
28/10/2019,SDG-Mean,0.45380532
29/10/2019,SDG-Mean,0.455713044
30/10/2019,SDG-Mean,0.454371581
31/10/2019,SDG-Mean,0.454380639
01/11/2019,SDG-Mean,0.454938746
02/11/2019,SDG-Mean,0.454803334
03/11/2019,SDG-Mean,0.455053194
04/11/2019,SDG-Mean,0.458006765
05/11/2019,SDG-Mean,0.461749908
06/11/2019,SDG-Mean,0.463228812
07/11/2019,SDG-Mean,0.463342818
08/11/2019,SDG-Mean,0.463061688
09/11/2019,SDG-Mean,0.461750365
10/11/2019,SDG-Mean,0.459734093
11/11/2019,SDG-Mean,0.458084562
12/11/2019,SDG-Mean,0.456719916
13/11/2019,SDG-Mean,0.455699328
14/11/2019,SDG-Mean,0.455048948
15/11/2019,SDG-Mean,0.455161591
16/11/2019,SDG-Mean,0.454861299
17/11/2019,SDG-Mean,0.454083027
18/11/2019,SDG-Mean,0.45317685
19/11/2019,SDG-Mean,0.452840018
20/11/2019,SDG-Mean,0.451719875
21/11/2019,SDG-Mean,0.45226848
22/11/2019,SDG-Mean,0.450393584
23/11/2019,SDG-Mean,0.447529249
24/11/2019,SDG-Mean,0.447760368
25/11/2019,SDG-Mean,0.447379916
26/11/2019,SDG-Mean,0.449387889
27/11/2019,SDG-Mean,0.449091846
28/11/2019,SDG-Mean,0.449242738
29/11/2019,SDG-Mean,0.447771748
30/11/2019,SDG-Mean,0.446290072
01/12/2019,SDG-Mean,0.446203617
02/12/2019,SDG-Mean,0.446259344
03/12/2019,SDG-Mean,0.448458125
04/12/2019,SDG-Mean,0.45035063
05/12/2019,SDG-Mean,0.451084819
06/12/2019,SDG-Mean,0.44973265
07/12/2019,SDG-Mean,0.446580835
08/12/2019,SDG-Mean,0.443711349
09/12/2019,SDG-Mean,0.442922103
10/12/2019,SDG-Mean,0.443332671
11/12/2019,SDG-Mean,0.446805009
12/12/2019,SDG-Mean,0.450178213
13/12/2019,SDG-Mean,0.453908906
14/12/2019,SDG-Mean,0.45459446
15/12/2019,SDG-Mean,0.453671953
16/12/2019,SDG-Mean,0.455541418
17/12/2019,SDG-Mean,0.455262103
18/12/2019,SDG-Mean,0.454209153
19/12/2019,SDG-Mean,0.453106952
20/12/2019,SDG-Mean,0.454291707
21/12/2019,SDG-Mean,0.451760372
22/12/2019,SDG-Mean,0.449955737
23/12/2019,SDG-Mean,0.450812983
24/12/2019,SDG-Mean,0.45205631
25/12/2019,SDG-Mean,0.452333798
26/12/2019,SDG-Mean,0.451736397
27/12/2019,SDG-Mean,0.447949023
28/12/2019,SDG-Mean,0.444637417
29/12/2019,SDG-Mean,0.441425059
30/12/2019,SDG-Mean,0.439344538
31/12/2019,SDG-Mean,0.434534232
01/01/2020,SDG-Mean,0.434846682
02/01/2020,SDG-Mean,0.437877108
03/01/2020,SDG-Mean,0.436803616
04/01/2020,SDG-Mean,0.43242735
05/01/2020,SDG-Mean,0.430918513
06/01/2020,SDG-Mean,0.430979334
07/01/2020,SDG-Mean,0.433494461
08/01/2020,SDG-Mean,0.433550281
09/01/2020,SDG-Mean,0.436949813
10/01/2020,SDG-Mean,0.438244931
11/01/2020,SDG-Mean,0.436978687
12/01/2020,SDG-Mean,0.435477869
13/01/2020,SDG-Mean,0.437778556
14/01/2020,SDG-Mean,0.440584032
15/01/2020,SDG-Mean,0.443918344
16/01/2020,SDG-Mean,0.44791356
17/01/2020,SDG-Mean,0.447683121
18/01/2020,SDG-Mean,0.445505252
19/01/2020,SDG-Mean,0.447291338
20/01/2020,SDG-Mean,0.447640335
21/01/2020,SDG-Mean,0.447930984
22/01/2020,SDG-Mean,0.445677447
23/01/2020,SDG-Mean,0.444233643
24/01/2020,SDG-Mean,0.438628838
25/01/2020,SDG-Mean,0.435610066
26/01/2020,SDG-Mean,0.432870892
27/01/2020,SDG-Mean,0.429845485
28/01/2020,SDG-Mean,0.429839424
29/01/2020,SDG-Mean,0.42880109
30/01/2020,SDG-Mean,0.426064761
31/01/2020,SDG-Mean,0.424379341
01/02/2020,SDG-Mean,0.421952147
02/02/2020,SDG-Mean,0.42012005
03/02/2020,SDG-Mean,0.419689961
04/02/2020,SDG-Mean,0.421155012
05/02/2020,SDG-Mean,0.421322455
06/02/2020,SDG-Mean,0.421790388
07/02/2020,SDG-Mean,0.419121563
08/02/2020,SDG-Mean,0.415113469
09/02/2020,SDG-Mean,0.413113842
10/02/2020,SDG-Mean,0.411013209
11/02/2020,SDG-Mean,0.411778222
12/02/2020,SDG-Mean,0.411581112
13/02/2020,SDG-Mean,0.411573054
14/02/2020,SDG-Mean,0.412313182
15/02/2020,SDG-Mean,0.409051394
16/02/2020,SDG-Mean,0.408277166
17/02/2020,SDG-Mean,0.407777398
18/02/2020,SDG-Mean,0.408200248
19/02/2020,SDG-Mean,0.410760143
20/02/2020,SDG-Mean,0.412248123
21/02/2020,SDG-Mean,0.411805553
22/02/2020,SDG-Mean,0.411405402
23/02/2020,SDG-Mean,0.411950966
24/02/2020,SDG-Mean,0.410044272
25/02/2020,SDG-Mean,0.408669787
26/02/2020,SDG-Mean,0.405754292
27/02/2020,SDG-Mean,0.403675444
28/02/2020,SDG-Mean,0.396980979
29/02/2020,SDG-Mean,0.393237412
01/03/2020,SDG-Mean,0.391576725
02/03/2020,SDG-Mean,0.391867097
03/03/2020,SDG-Mean,0.391722786
04/03/2020,SDG-Mean,0.391722245
05/03/2020,SDG-Mean,0.390782827
06/03/2020,SDG-Mean,0.38494502
07/03/2020,SDG-Mean,0.382311648
08/03/2020,SDG-Mean,0.38098995
09/03/2020,SDG-Mean,0.373059752
10/03/2020,SDG-Mean,0.368393437
11/03/2020,SDG-Mean,0.365826261
12/03/2020,SDG-Mean,0.360932108
13/03/2020,SDG-Mean,0.357351516
14/03/2020,SDG-Mean,0.355275946
15/03/2020,SDG-Mean,0.352666177
16/03/2020,SDG-Mean,0.347508745
17/03/2020,SDG-Mean,0.343544197
18/03/2020,SDG-Mean,0.339187674
19/03/2020,SDG-Mean,0.334407053
20/03/2020,SDG-Mean,0.328131241
21/03/2020,SDG-Mean,0.326104407
22/03/2020,SDG-Mean,0.324147202
23/03/2020,SDG-Mean,0.321779924
24/03/2020,SDG-Mean,0.320328405
25/03/2020,SDG-Mean,0.319365557
26/03/2020,SDG-Mean,0.315842172
27/03/2020,SDG-Mean,0.313786974
28/03/2020,SDG-Mean,0.311797358
29/03/2020,SDG-Mean,0.309936076
30/03/2020,SDG-Mean,0.307360827
31/03/2020,SDG-Mean,0.307749675
01/04/2020,SDG-Mean,0.30772649
02/04/2020,SDG-Mean,0.304186327
03/04/2020,SDG-Mean,0.299437117
04/04/2020,SDG-Mean,0.296953466
05/04/2020,SDG-Mean,0.29427059
06/04/2020,SDG-Mean,0.295037623
07/04/2020,SDG-Mean,0.296327846
08/04/2020,SDG-Mean,0.295350214
09/04/2020,SDG-Mean,0.295843842
10/04/2020,SDG-Mean,0.294521687
11/04/2020,SDG-Mean,0.293165771
12/04/2020,SDG-Mean,0.29184847
13/04/2020,SDG-Mean,0.288829064
14/04/2020,SDG-Mean,0.289278095
15/04/2020,SDG-Mean,0.289044188
16/04/2020,SDG-Mean,0.285695424
17/04/2020,SDG-Mean,0.283829741
18/04/2020,SDG-Mean,0.282931957
19/04/2020,SDG-Mean,0.281815401
20/04/2020,SDG-Mean,0.282307639
21/04/2020,SDG-Mean,0.281252522
22/04/2020,SDG-Mean,0.283416492
23/04/2020,SDG-Mean,0.285734618
