Timestamps,Type1,Data1
23/03/2020,ESG-STD,0.664717389
24/03/2020,ESG-STD,0.660359339
25/03/2020,ESG-STD,0.65654188
26/03/2020,ESG-STD,0.656542026
27/03/2020,ESG-STD,0.654346181
28/03/2020,ESG-STD,0.653802458
29/03/2020,ESG-STD,0.65506817
30/03/2020,ESG-STD,0.656163166
31/03/2020,ESG-STD,0.65229506
01/04/2020,ESG-STD,0.652752909
02/04/2020,ESG-STD,0.658091311
03/04/2020,ESG-STD,0.659170297
04/04/2020,ESG-STD,0.659051565
05/04/2020,ESG-STD,0.659045428
06/04/2020,ESG-STD,0.656220186
07/04/2020,ESG-STD,0.653740659
08/04/2020,ESG-STD,0.651073932
09/04/2020,ESG-STD,0.649462967
10/04/2020,ESG-STD,0.648289961
11/04/2020,ESG-STD,0.647826044
12/04/2020,ESG-STD,0.647750696
13/04/2020,ESG-STD,0.649337111
14/04/2020,ESG-STD,0.648504921
15/04/2020,ESG-STD,0.650148413
16/04/2020,ESG-STD,0.651578327
17/04/2020,ESG-STD,0.652311615
18/04/2020,ESG-STD,0.652624042
19/04/2020,ESG-STD,0.652418073
20/04/2020,ESG-STD,0.649664637
21/04/2020,ESG-STD,0.651222345
22/04/2020,ESG-STD,0.649756955
23/04/2020,ESG-STD,0.646344979
24/04/2020,ESG-STD,0.644276817
25/04/2020,ESG-STD,0.64307155
26/04/2020,ESG-STD,0.642836959
27/04/2020,ESG-STD,0.641392821
28/04/2020,ESG-STD,0.639723533
29/04/2020,ESG-STD,0.637633601
30/04/2020,ESG-STD,0.637011676
01/05/2020,ESG-STD,0.63560373
02/05/2020,ESG-STD,0.635157845
03/05/2020,ESG-STD,0.6351356
04/05/2020,ESG-STD,0.63528035
05/05/2020,ESG-STD,0.634318057
06/05/2020,ESG-STD,0.632942033
07/05/2020,ESG-STD,0.631883219
08/05/2020,ESG-STD,0.632787043
09/05/2020,ESG-STD,0.632063088
10/05/2020,ESG-STD,0.630418604
11/05/2020,ESG-STD,0.628860375
12/05/2020,ESG-STD,0.627562861
13/05/2020,ESG-STD,0.627374878
14/05/2020,ESG-STD,0.627392206
15/05/2020,ESG-STD,0.6304251
16/05/2020,ESG-STD,0.631658668
17/05/2020,ESG-STD,0.630898522
18/05/2020,ESG-STD,0.628545913
19/05/2020,ESG-STD,0.62602032
20/05/2020,ESG-STD,0.625344091
21/05/2020,ESG-STD,0.625555684
22/05/2020,ESG-STD,0.626870887
23/05/2020,ESG-STD,0.628107742
24/05/2020,ESG-STD,0.628037615
25/05/2020,ESG-STD,0.627471658
26/05/2020,ESG-STD,0.625547712
27/05/2020,ESG-STD,0.623724046
28/05/2020,ESG-STD,0.624701811
29/05/2020,ESG-STD,0.626249883
30/05/2020,ESG-STD,0.628860591
31/05/2020,ESG-STD,0.632066844
01/06/2020,ESG-STD,0.634719182
02/06/2020,ESG-STD,0.639087465
03/06/2020,ESG-STD,0.638055195
04/06/2020,ESG-STD,0.63672204
05/06/2020,ESG-STD,0.632488466
06/06/2020,ESG-STD,0.632017635
07/06/2020,ESG-STD,0.631124857
